id,title,franchise,release_year,genres,vote_average,vote_count,director,top_actors,keywords
1,Toy Story,Toy Story,1995,"Animation, Comedy, Family",7.7,5415,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles","jealousy, toy, boy, friendship, friends"
2,Jumanji,,1995,"Adventure, Family, Fantasy",6.9,2413,Joe Johnston,"Robin Williams, Jonathan Hyde, Kirsten Dunst","disappearance, based on children's book"
3,Grumpier Old Men,Grumpy Old Men,1995,"Comedy, Romance",6.5,92,Howard Deutch,"Walter Matthau, Jack Lemmon, Ann-Margret","fishing, best friend, duringcreditsstinger"
4,Father of the Bride Part II,Father of the Bride,1995,Comedy,5.7,173,Charles Shyer,"Steve Martin, Diane Keaton, Martin Short","baby, midlife crisis, confidence, aging, daughter"
5,Heat,,1995,"Action, Crime, Drama, Thriller",7.7,1886,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer","robbery, detective, bank, obsession, chase"
6,Sabrina,,1995,"Comedy, Romance",6.2,141,Sydney Pollack,"Harrison Ford, Julia Ormond, Greg Kinnear","paris, brother brother relationship, millionaire"
7,Tom and Huck,,1995,"Action, Adventure, Drama, Family",5.4,45,Peter Hewitt,"Jonathan Taylor Thomas, Brad Renfro, Rachael Leigh Cook",
8,Sudden Death,,1995,"Action, Adventure, Thriller",5.5,174,Peter Hyams,"Jean-Claude Van Damme, Powers Boothe, Dorian Harewood","terrorist, hostage, explosive"
9,GoldenEye,James Bond,1995,"Action, Adventure, Thriller",6.6,1194,Martin Campbell,"Pierce Brosnan, Sean Bean, Izabella Scorupco","cuba, falsely accused, secret identity, computer virus, secret intelligence service"
10,The American President,,1995,"Comedy, Drama, Romance",6.5,199,Rob Reiner,"Michael Douglas, Annette Bening, Michael J. Fox","white house, usa president, new love, widower"
11,Dracula: Dead and Loving It,,1995,"Comedy, Horror",5.7,210,Mel Brooks,"Leslie Nielsen, Mel Brooks, Amy Yasbeck","dracula, spoof"
12,Balto,Balto,1995,"Adventure, Animation, Family",7.1,423,Simon Wells,"Kevin Bacon, Bob Hoskins, Bridget Fonda","wolf, alaska, dog"
13,Nixon,,1995,"Drama, History",7.1,72,Oliver Stone,"Anthony Hopkins, Joan Allen, Powers Boothe","usa president, presidential election, biography, government, historical figure"
14,Cutthroat Island,,1995,"Action, Adventure",5.7,137,Renny Harlin,"Geena Davis, Matthew Modine, Frank Langella","exotic island, treasure, map, ship, pirate"
15,Casino,,1995,"Crime, Drama",7.8,1343,Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci","poker, drug abuse, 1970s, overdose, illegal prostitution"
16,Sense and Sensibility,,1995,"Drama, Romance",7.2,364,Ang Lee,"Kate Winslet, Emma Thompson, Hugh Grant","based on novel, servant, country life, inheritance, period drama"
17,Four Rooms,,1995,"Comedy, Crime",6.5,539,Allison Anders,"Tim Roth, Antonio Banderas, Jennifer Beals","hotel, new year's eve, witch, bet, hotel room"
18,Ace Ventura: When Nature Calls,Ace Ventura,1995,"Adventure, Comedy, Crime",6.1,1128,Steve Oedekerk,"Jim Carrey, Ian McNeice, Simon Callow","africa, human animal relationship"
19,Money Train,,1995,"Action, Comedy, Crime",5.4,224,Joseph Ruben,"Wesley Snipes, Woody Harrelson, Jennifer Lopez","brother brother relationship, subway, new york city"
20,Get Shorty,Chili Palmer,1995,"Comedy, Crime, Thriller",6.4,305,Barry Sonnenfeld,"John Travolta, Gene Hackman, Rene Russo","gambling, miami, based on novel, job, murder"
21,Copycat,,1995,"Drama, Thriller",6.5,199,Jon Amiel,"Sigourney Weaver, Holly Hunter, Will Patton","police brutality, psychology, police operation, serial killer, psychologist"
